ADC,Temperature
0,-273
1,-273
2,-273
3,-273
4,-273
5,-273
6,-273
7,-273
8,-273
9,-273
10,-273
11,-273
12,-273
13,-273
14,-273
15,-273
16,-273
17,-273
18,-273
19,-273
20,-273
21,-273
22,-273
23,-273
24,-273
25,-273
26,-273
27,-273
28,124.93
29,123.72
30,122.56
31,121.43
32,120.35
33,119.5
34,118.5
35,117.52
36,116.58
37,115.66
38,114.94
39,114.08
40,113.24
41,112.43
42,111.64
43,110.86
44,110.11
45,109.55
46,108.84
47,108.14
48,107.46
49,106.79
50,106.14
51,105.5
52,104.88
53,104.41
54,103.82
55,103.23
56,102.66
57,102.1
58,101.55
59,101.01
60,100.48
61,99.96
62,99.56
63,99.06
64,98.56
65,98.08
66,97.6
67,97.13
68,96.67
69,96.22
70,95.77
71,95.33
72,94.9
73,94.58
74,94.16
75,93.74
76,93.33
77,92.93
78,92.53
79,92.14
80,91.75
81,91.37
82,91
83,90.63
84,90.26
85,89.96
86,89.6
87,89.25
88,88.9
89,88.56
90,88.21
91,87.88
92,87.55
93,87.22
94,86.89
95,86.57
96,86.26
97,85.94
98,85.63
99,85.32
100,85.02
101,84.77
102,84.47
103,84.18
104,83.89
105,83.6
106,83.31
107,83.03
108,82.75
109,82.47
110,82.2
111,81.93
112,81.66
113,81.39
114,81.12
115,80.86
116,80.6
117,80.35
118,80.09
119,79.86
120,79.61
121,79.36
122,79.12
123,78.87
124,78.63
125,78.39
126,78.15
127,77.91
128,77.68
129,77.45
130,77.22
131,76.99
132,76.76
133,76.53
134,76.31
135,76.09
136,75.87
137,75.65
138,75.43
139,75.22
140,75
141,74.79
142,74.58
143,74.37
144,74.16
145,73.95
146,73.75
147,73.54
148,73.34
149,73.14
150,72.94
151,72.74
152,72.55
153,72.35
154,72.15
155,71.96
156,71.77
157,71.58
158,71.39
159,71.2
160,71.01
161,70.83
162,70.64
163,70.46
164,70.28
165,70.1
166,69.9
167,69.72
168,69.54
169,69.36
170,69.19
171,69.01
172,68.84
173,68.66
174,68.49
175,68.32
176,68.15
177,67.98
178,67.81
179,67.64
180,67.48
181,67.31
182,67.15
183,66.98
184,66.82
185,66.66
186,66.5
187,66.33
188,66.17
189,66.02
190,65.86
191,65.7
192,65.54
193,65.39
194,65.23
195,65.08
196,64.88
197,64.72
198,64.57
199,64.42
200,64.27
201,64.12
202,63.97
203,63.82
204,63.67
205,63.53
206,63.38
